証券コード,33業種番号,33業種名,17業種番号,17業種名
32220,6100,小売業,14,小売
75120,6100,小売業,14,小売
76490,6100,小売業,14,小売
23540,5250,情報･通信業,10,情報通信・サービスその他
99460,6100,小売業,14,小売
76240,6050,卸売業,13,商社・卸売
52710,3400,ガラス･土石製品,3,建設・資材
99480,6100,小売業,14,小売
70770,9050,サービス業,10,情報通信・サービスその他
85700,7200,その他金融業,16,金融（除く銀行）
26860,6100,小売業,14,小売
81680,,,,
98760,6100,小売業,14,小売
26690,6100,小売業,14,小売
22920,3050,食料品,1,食品
82000,6100,小売業,14,小売
23790,9050,サービス業,10,情報通信・サービスその他
93810,5200,倉庫･運輸関連業,12,運輸・物流
67340,3650,電気機器,9,電機・精密
30930,6100,小売業,14,小売
81980,6100,小売業,14,小売
39220,5250,情報･通信業,10,情報通信・サービスその他
99450,,,,
44940,5250,情報･通信業,10,情報通信・サービスその他
21860,9050,サービス業,10,情報通信・サービスその他
64320,3600,機械,8,機械
30570,,,,
38260,5250,情報･通信業,10,情報通信・サービスその他
82540,6100,小売業,14,小売
39350,5250,情報･通信業,10,情報通信・サービスその他
31410,6100,小売業,14,小売
96010,5250,情報･通信業,10,情報通信・サービスその他
44320,5250,情報･通信業,10,情報通信・サービスその他
17120,2050,建設業,3,建設・資材
73570,9050,サービス業,10,情報通信・サービスその他
30300,6100,小売業,14,小売
26680,6050,卸売業,13,商社・卸売
82730,6100,小売業,14,小売
49200,3200,化学,4,素材・化学
23380,5250,情報･通信業,10,情報通信・サービスその他
82330,6100,小売業,14,小売
